Table S1. The detailed information of the dataset.							
tfname	cellline	Experiment_accession	File_accession	File_format	File_format_type	File_assembly	File_download_URL
SIN3A	K562	ENCSR000BLR	ENCFF520DLY	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF520DLY/@@download/ENCFF520DLY.bigWig
SIN3A	K562	ENCSR000BLR	ENCFF803COK	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF803COK/@@download/ENCFF803COK.bed.gz
SIN3A	MCF-7	ENCSR000BUM	ENCFF001UNP	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UNP/@@download/ENCFF001UNP.bed.gz
SIN3A	MCF-7	ENCSR000BUM	ENCFF001UNQ	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UNQ/@@download/ENCFF001UNQ.bed.gz
SIN3A	MCF-7	ENCSR468LUO	ENCFF580NQL	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF580NQL/@@download/ENCFF580NQL.bed.gz
SIN3A	MCF-7	ENCSR468LUO	ENCFF502ZFP	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF502ZFP/@@download/ENCFF502ZFP.bigWig
TAF1	GM12878	ENCSR000BGS	ENCFF001TZG	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001TZG/@@download/ENCFF001TZG.bed.gz
TAF1	GM12878	ENCSR000BGS	ENCFF001TZH	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001TZH/@@download/ENCFF001TZH.bed.gz
TAF1	GM12878	ENCSR000BGS	ENCFF411THR	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF411THR/@@download/ENCFF411THR.bigWig
TAF1	GM12878	ENCSR000BGS	ENCFF544NRC	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF544NRC/@@download/ENCFF544NRC.bed.gz
TAF1	H1	ENCSR000BHO	ENCFF001UCS	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UCS/@@download/ENCFF001UCS.bed.gz
TAF1	H1	ENCSR000BHO	ENCFF001UCT	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UCT/@@download/ENCFF001UCT.bed.gz
TAF1	H1	ENCSR000BHO	ENCFF151BKM	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF151BKM/@@download/ENCFF151BKM.bigWig
TAF1	H1	ENCSR000BHO	ENCFF202SNU	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF202SNU/@@download/ENCFF202SNU.bed.gz
TAF1	HeLa-S3	ENCSR000BHT	ENCFF001UFC	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UFC/@@download/ENCFF001UFC.bed.gz
TAF1	HeLa-S3	ENCSR000BHT	ENCFF001UFD	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UFD/@@download/ENCFF001UFD.bed.gz
TAF1	HeLa-S3	ENCSR000BHT	ENCFF891SYJ	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF891SYJ/@@download/ENCFF891SYJ.bigWig
TAF1	HeLa-S3	ENCSR000BHT	ENCFF305QDB	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF305QDB/@@download/ENCFF305QDB.bed.gz
TAF1	HepG2	ENCSR000BJN	ENCFF001UHS	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UHS/@@download/ENCFF001UHS.bed.gz
TAF1	HepG2	ENCSR000BJN	ENCFF001UHT	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001UHT/@@download/ENCFF001UHT.bed.gz
TAF1	HepG2	ENCSR000BJN	ENCFF580VSV	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF580VSV/@@download/ENCFF580VSV.bigWig
TAF1	HepG2	ENCSR000BJN	ENCFF345GZF	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF345GZF/@@download/ENCFF345GZF.bed.gz
TAF1	K562	ENCSR000BKS	ENCFF001ULN	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001ULN/@@download/ENCFF001ULN.bed.gz
TAF1	K562	ENCSR000BKS	ENCFF001ULO	bed broadPeak	peaks	hg19	https://www.encodeproject.org/files/ENCFF001ULO/@@download/ENCFF001ULO.bed.gz
TAF1	K562	ENCSR000BKS	ENCFF488POX	bigWig	fold change over control	hg19	https://www.encodeproject.org/files/ENCFF488POX/@@download/ENCFF488POX.bigWig
TAF1	K562	ENCSR000BKS	ENCFF822FWM	bed narrowPeak	optimal IDR thresholded peaks	hg19	https://www.encodeproject.org/files/ENCFF822FWM/@@download/ENCFF822FWM.bed.gz
